WARNING 2026-02-11 08:04:03,300 log 15168 Not Found: /static/admin/css/responsive.css
WARNING 2026-02-11 08:04:03,317 log 15168 Not Found: /static/admin/js/theme.js
WARNING 2026-02-11 08:04:03,317 log 15168 Not Found: /static/admin/js/nav_sidebar.js
WARNING 2026-02-11 08:04:03,818 log 15168 Not Found: /static/admin/css/base.css
WARNING 2026-02-11 08:04:03,819 log 15168 Not Found: /static/admin/css/dark_mode.css
WARNING 2026-02-11 08:04:03,820 log 15168 Not Found: /static/admin/css/nav_sidebar.css
WARNING 2026-02-11 08:04:03,820 log 15168 Not Found: /static/admin/css/login.css
WARNING 2026-02-11 08:04:03,821 log 15168 Not Found: /static/admin/css/responsive.css
WARNING 2026-02-11 08:04:03,826 log 15168 Not Found: /static/admin/js/theme.js
WARNING 2026-02-11 08:04:03,827 log 15168 Not Found: /static/admin/js/nav_sidebar.js
WARNING 2026-02-11 08:04:04,028 log 15168 Not Found: /static/admin/css/base.css
WARNING 2026-02-11 08:04:04,029 log 15168 Not Found: /static/admin/css/dark_mode.css
WARNING 2026-02-11 08:04:04,029 log 15168 Not Found: /static/admin/css/login.css
WARNING 2026-02-11 08:04:04,030 log 15168 Not Found: /static/admin/css/responsive.css
WARNING 2026-02-11 08:04:04,031 log 15168 Not Found: /static/admin/css/nav_sidebar.css
WARNING 2026-02-11 08:04:04,033 log 15168 Not Found: /static/admin/js/theme.js
WARNING 2026-02-11 08:04:04,039 log 15168 Not Found: /static/admin/js/nav_sidebar.js
WARNING 2026-02-11 08:04:09,037 log 15168 Not Found: /static/admin/css/base.css
WARNING 2026-02-11 08:04:09,038 log 15168 Not Found: /static/admin/css/dark_mode.css
WARNING 2026-02-11 08:04:09,039 log 15168 Not Found: /static/admin/css/nav_sidebar.css
WARNING 2026-02-11 08:04:09,039 log 15168 Not Found: /static/admin/css/login.css
WARNING 2026-02-11 08:04:09,040 log 15168 Not Found: /static/admin/css/responsive.css
WARNING 2026-02-11 08:04:09,052 log 15168 Not Found: /.well-known/appspecific/com.chrome.devtools.json
WARNING 2026-02-11 08:09:18,612 log 15168 Not Found: /static/admin/css/base.css
WARNING 2026-02-11 08:09:18,613 log 15168 Not Found: /.well-known/appspecific/com.chrome.devtools.json
WARNING 2026-02-11 08:09:18,613 log 15168 Not Found: /static/admin/css/dark_mode.css
WARNING 2026-02-11 08:09:18,618 log 15168 Not Found: /static/admin/css/nav_sidebar.css
WARNING 2026-02-11 08:09:18,620 log 15168 Not Found: /static/admin/css/login.css
WARNING 2026-02-11 08:09:18,625 log 15168 Not Found: /static/admin/css/responsive.css
WARNING 2026-02-11 08:09:18,638 log 15168 Not Found: /static/admin/js/theme.js
